"id","fdc_id"
"22721","746952"
"22722","747429"
"22723","747693"
"22724","749420"
"22725","789890"
"22726","789951"
"22727","790018"
"22728","790085"
"22729","790146"
"22730","790214"
"22731","790276"
"22732","1105073"
"22733","1105314"
"22734","1104913"
"22735","1104812"
"22736","1104867"
"22737","1104705"
"22738","1104766"
"22739","1104962"
"22740","1104647"
"22741","1105430"
"22742","1105897"
"22743","1105781"
"22744","1105664"
"22745","1105547"
"12172","168434"
"12173","168435"
"12174","168436"
"12175","168437"
"12176","168438"
"12177","168439"
"12178","168440"
"12179","168441"
"12180","168442"
"12181","168443"
"12182","168444"
"12183","168445"
"12184","168446"
"12185","168447"
"12186","168448"
"12187","168449"
"12188","168450"
"12189","168451"
"12190","168452"
"12191","168453"
"12192","168454"
"12193","168455"
"12194","168456"
"12195","168457"
"12196","168458"
"12197","168459"
"12198","168460"
"12199","168461"
"12200","168462"
"12201","168463"
"12202","168464"
"12203","168465"
"12204","168466"
"12205","168467"
"12206","168468"
"12207","168469"
"12208","168470"
"12209","168471"
"12210","168472"
"12211","168473"
"12212","168474"
"12213","168475"
"12214","168476"
"12215","168477"
"12216","168478"
"12217","168479"
"12218","168480"
"12219","168481"
"12220","168482"
"12221","168483"
"12222","168484"
"12223","168485"
"12224","168486"
"12225","168487"
"12226","168488"
"12227","168489"
"12228","168490"
"12229","168491"
"12230","168492"
"12231","168493"
"12232","168494"
"12233","168495"
"12234","168496"
"12235","168497"
"12236","168498"
"12237","168499"
"12238","168500"
"12239","168501"
"12240","168502"
"12241","168503"
"12242","168504"
"12243","168505"
"12244","168506"
"12245","168507"
"12246","168508"
"12247","168509"
"12248","168510"
"12249","168511"
"12250","168512"
"12251","168513"
"12252","168514"
"12253","168515"
"12254","168516"
"12255","168517"
"12256","168518"
"12257","168519"
"12258","168520"
"12259","168521"
"12260","168522"
"12261","168523"
"12262","168524"
"12263","168525"
"12264","168526"
"12265","168527"
"12266","168528"
"12267","168529"
"12268","168530"
"12269","168531"
"12270","168532"
"12271","168533"
"12272","168534"
"12273","168535"
"12274","168536"
"12275","168537"
"12276","168538"
"12277","168539"
"12278","168540"
"12279","168541"
"12280","168542"
"12281","168543"
"12282","168544"
"12283","168545"
"12284","168546"
"12285","168547"
"12286","168548"
"12287","168549"
"12288","168550"
"12289","168551"
"12290","168552"
"12291","168553"
"12292","168554"
"12293","168556"
"12294","168557"
"12295","168558"
"12296","168559"
"12297","168560"
"12298","168561"
"12299","168562"
"12300","168563"
"12301","168564"
"12302","168565"
"12303","168566"
"12304","168567"
"12305","168568"
