"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"319875","","2015-11-09","","NE1","2015-10-06","","10:0823 ","","HASTINGS","ALLENS FOOD MART","NE","40822011143"
"319876","","2015-11-09","","NE1","2015-10-06","","10:0823 ","","HASTINGS","ALLENS FOOD MART","NE","40822011143"
"319880","","2015-11-02","","PA1","2015-09-27","","1 231 02160132","","PITTSBURGH","SHOP N SAVE","PA","40822011143"
"319881","","2015-11-02","","AZ1","2015-09-27","","1 231 165302","","TUCSON","BASHAS MARKET","AZ","40822011143"
"319886","","2015-11-13","","IA","2015-09-19","","3:38:52 ","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143"
"319887","","2015-11-13","","IA","2015-09-19","","3:38:42 AM","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143"
"319888","","2015-11-13","","IA","2015-09-19","","3:38:54 AM","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143"
"319889","","2015-10-12","","TX1","2015-09-26","","5:50:03 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143"
"319890","","2015-10-12","","TX1","2015-09-26","","5:52:40 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143"
"319891","","2015-10-12","","TX1","2015-09-26","","5:50:02 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143"
"319895","OPEN NATURE ORIGINAL","2015-11-26","","CA2","2015-10-06","","6:57:00 AM","","BONITA","VONS MARKET","CA","79893110196"
"319896","OPEN NATURE ORIGINAL","2015-11-26","","CA2","2015-10-06","","6:57:00 AM","","BONITA","VONS MARKET","CA","79893110196"
"319897","HYVEE SELECT ORIGINAL","2015-10-25","","IA","2015-09-19","","2024L3","","ESTHERVILLE","HY VEE FOOD STORE","IA","75450062366"
"319898","HYVEE SELECT ORIGINAL","2015-10-25","","IA","2015-09-19","","2024L3","","ESTHERVILLE","HY VEE FOOD STORE","IA","75450062366"
"319902","","2015-11-13","","IN1","2015-09-29","","12:3042","","NEWBURGH","SCHNUCK MARKET","IN","40822011143"
"319903","","2015-11-13","","IN1","2015-09-29","","12:3041","","NEWBURGH","SCHNUCK MARKET","IN","40822011143"
"319904","","2015-11-02","","CA1","2015-09-27","","142841","","PALMDALE","STATER BROS MKT","CA","40822011143"
"319905","","2015-11-02","","CA1","2015-09-27","","142845","","PALMDALE","STATER BROS MKT","CA","40822011143"
"319922","","2015-11-06","","GA1","2015-09-29","","175822 ","","LOCUST GROVE","INGLES SUPERMARKET","GA","40822011143"
"319923","","2015-11-06","","GA1","2015-09-29","","175823","","LOCUST GROVE","INGLES SUPERMARKET","GA","40822011143"
"319924","","2015-11-09","","NJ1","2015-09-28","","232044","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","40822011143"
"319925","","2015-11-09","","NJ1","2015-09-28","","174725","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","40822011143"
"319940","","2015-11-13","","CA2","2015-10-06","","11:3211 ","","BONITA ","VONS MARKET","CA","40822011143"
"319941","","2015-11-13","","CA2","2015-10-06","","11:3213","","BONITA ","VONS MARKET","CA","40822011143"
"319942","","2015-11-16","","KY1","2015-09-29","","7:09:11 PM","","HARRODSBURG","KROGER","KY","40822011143"
"319943","","2015-11-16","","KY1","2015-09-29","","7:09:11 PM","","HARRODSBURG","KROGER","KY","40822011143"
"319959","","2015-10-15","","GA1","2015-09-29","","0542-208","","LOCUST GROVE","INGLES SUPERMARKET","GA","78902675305"
"319960","","2015-10-15","","GA1","2015-09-29","","0542-208","","LOCUST GROVE","INGLES SUPERMARKET","GA","78902675305"
"319961","","2015-10-15","","GA1","2015-09-29","","0542-208","","LOCUST GROVE","INGLES SUPERMARKET","GA","78902675305"
"319962","","2015-10-24","","NJ1","2015-09-28","","0637-217","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","78902675305"
"319963","","2015-10-24","","NJ1","2015-09-28","","0810-217","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","78902675305"
"319964","","2015-10-24","","NJ1","2015-09-28","","0812-217","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","78902675305"
"319979","PITA PAL ORIGINAL","2015-11-07","","TX1","2015-09-26","","9:41:00 AM","","HOUSTON","RANDALLS FOOD MARKET","TX","850157000688"
"319980","ATHENOS HUMMUS ORIGINAL","2015-12-03","","CA1","2015-09-27","","XMN 7 1553","","PALMDALE","STATER BROS MKT","CA","25400000436"
"319985","","2015-11-07","","PA1","2015-09-27","","0240 231","","PITTSBURGH","GIANT EAGLE MARKET","PA","78902675305"
"319986","","2015-11-07","","PA1","2015-09-27","","0240 231","","PITTSBURGH","GIANT EAGLE MARKET","PA","78902675305"
"319987","","2015-11-07","","PA1","2015-09-27","","0240 231","","PITTSBURGH","GIANT EAGLE MARKET","PA","78902675305"
"319988","","2015-11-05","","KY1","2015-09-29","","1413 229","","HARRODSBURG","WALMART SUPERCENTER","KY","78902675305"
"319989","","2015-11-05","","KY1","2015-09-29","","1413 229","","HARRODSBURG","WALMART SUPERCENTER","KY","78902675305"
"319990","","2015-11-05","","KY1","2015-09-29","","1413 229","","HARRODSBURG","WALMART SUPERCENTER","KY","78902675305"
"320006","CULINARIA ALL NATURAL HUMMUS","2015-11-04","","IN1","2015-09-29","","8:25:00 AM","","NEWBURGH","SCHUNUCK MARKET","IN","41318091397"
"320007","CULINARIA ALL NATURAL HUMMUS","2015-11-04","","IN1","2015-09-29","","8:25:00 AM","","NEWBURGH","SCHUNUCK MARKET","IN","41318091397"
"320008","CULINARIA ALL NATURAL HUMMUS","2015-11-04","","IN1","2015-09-29","","8:25:00 AM","","NEWBURGH","SCHUNUCK MARKET","IN","41318091397"
"320009","CEDARS ALL NATURAL HUMMUS","2015-12-07","","AZ1","2015-09-27","","10:48:00 AM","","TUCSON","BASHAS MARKET","AZ","44115412013"
"320010","CEDARS ALL NATURAL HUMMUS","2015-12-07","","AZ1","2015-09-27","","10:48:00 AM","","TUCSON","BASHAS MARKET","AZ","44115412013"
"320026","HEB 2% MILK","2018-04-25","","TX1","2018-04-08","","PT9 C1 481841","","HOUSTON ","HEB","TX","041220628711"
"320032","LUCERNE 2 % MILK","2018-04-22","","CA2","2018-04-08","","0942 J 06-2796","","BONITA","VONS MARKET","CA","021130070114"
"320038","MILK 2% GREAT VALUE","2018-05-02","","NE1","2018-04-15","","1491913","","HASTINGS","WALMART","NE","78742352015"
"320044","FAREWAY MILK 2%","2018-04-23","","IA","2018-04-07","","46-138 0121 092","","ESTHERVILLE","FAREWAY","IA","078742351872"
"320063","GREAT VALUE, MILK 2%","2018-04-24","","KY1","2018-04-08","","AG1 21008","","HARRODSBURG","WALMART","KY","78742351872"
"320086","SHOPRITE 2% MILK","2018-04-19","","NJ1","2018-04-08","","431","","NEW BRUNSWICK","SAKER SHOPRITE","NJ","41190458004"
"320105","ALTA DENA DAIRY PURE, 2% MILK","2018-04-29","","CA1","2018-04-16","","F3 PLT 06102041","","PALMDALE","WALMART","CA","41900076634"
"320125","UNITED 2% MILK","2018-04-23","","PA1","2018-04-07","","3986 1932","","PITTSBURGH","SHOP N SAVE","PA","071580000315"
"320144","PRAIRIE FARMS, 2% MILK","2018-05-01","","IN1","2018-04-15","","15021855","","NEWBURGH","SCHNUCK MARKET","IN","72730222021"
"320166","LAURA LYNN 2% MILK","2018-04-24","","GA1","2018-04-16","","E0921","","LOCUST GROVE","INGLES","GA","086854009185"
"320173","GREAT VALUE, 2% MILK","2018-05-07","","TX2","2018-04-23","","124835F254","","GRAPEVINE","WALMART","TX","NFY121QIT"
"320180","SUNNYSIDE FARMS 2% MILK","2018-05-06","","CA3","2018-04-24","","L3PLT067071640","","LIVERMORE","LUCKY","CA","717544204916"
"320186","HARRIS TEETER, 2% MILK","2018-05-03","","NC2","2018-04-23","","3708713543","","CHARLOTTE","HARRIS TEETER","NC","072036639998"
"320192","SE GROCERS, 2% MILK","2018-05-07","","FL1","2018-04-23","","1107IAF11297","","NEW PORT RICKEY","WINN DIXIE","FL","38259101131"
"320198","STOP AND SHOP 2% MILK","2018-05-10","","NY1","2018-04-30","","341594258","","EAST MEADOW","STOP AND SHOP","NY","688267008634"
"320204","LUCERNE 2 % MILK","2018-05-17","","CO1","2018-04-30","","810HB1507","","PEYTON","SAFEWAY","CO","21130070671"
"320211","MARKET PANTRY 2% MILK","2018-05-07","","TN","2018-04-22","","111347125JG","","MEMPHIS","TARGET","TN","085239284025"
"320231","FOOD LION 2% MILK","2018-05-02","","NC1","2018-04-16","","A1425 37102","","ROANOKE RAPIDS","FOOD LION","NC","035826089779"
"320254","BASHAS 2% MILK","2018-05-01","","AZ1","2018-04-15","","1638 TCRN","","TUCSON","BASHAS MARKET","AZ","031903000804"
"320276","DEANS 2% DAIRY PURE","2018-05-09","","IL1","2018-04-23","","17383201435","","CHICAGO","JEWEL","IL","041900076634"
"320299","QFC 2% MILK","2018-05-12","","WA1","2018-04-29","","41452146C2","","SEATTLE","QFC","WA","11110415646"
"320308","HOOD 2% MILK","2018-05-11","","MA","2018-04-29","","9383303","","READING","STOP AND SHOP","MA","44100102936"
"320314","KEMPS SELECT 2% MILK","2018-05-15","","MN","2018-04-29","","271681750","","MINNEAPOLIS","CUB FOODS","MN","41483021779"
"320333","MEIJER 2% MILK","2018-05-22","","MI1","2018-05-07","","JPR26784","","COMMERCE","MEIJER","MI","41250102113"
"320354","Select","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320355","Select","","","","2011-07-12","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320358","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320359","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320360","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320361","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320362","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320363","Select","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"320364","Select","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320365","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320366","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320367","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320368","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320369","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320370","Select","","","","2011-07-08","Point of Production","","","Greeley","Greeley JBS Swift and Co.","CO",""
"320371","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320372","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320373","Select","","","","2011-08-25","Point of Production","","","Dodge City","Dodge City Cargill","KS",""
"320374","Select","","","","2011-07-26","Point of Production","","","Corpus Christi","Sam Kane Beef Processors","TX",""
"320375","Select","","","","2011-07-14","Point of Production","","","Green Bay","Smithfield Beef Group","WI",""
"320376","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320377","Select","","","","2011-07-14","Point of Production","","","Plainview","Cargill Meat Solutions","TX",""
"320378","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320379","Select","","","","2011-07-14","Point of Production","","","Omaha","Nebraska Beef, Inc.","NE",""
"320414","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","01451083","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320415","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","01451087","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320419","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320420","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320424","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320425","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320429","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320430","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320434","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857"
"320435","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857"
"320439","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320440","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320444","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320445","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","NE1","2016-05-15","","","","HASTINGS","WALMART SUPERCENTER","NE","716310961848"
"320446","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320447","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320452","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320453","WHOLESUM HARVEST ORGANIC GRAPE TOMATOES","","1","AZ1","2016-05-15","","","","TUCSON","BASHAS MARKET","AZ","741243002894"
"320454","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320455","SANTA SWEETS ORGANIC GRAPE TOMATOES","","1","IN1","2016-05-17","","","","NEWBURGH","SCHNUCK MARKET","IN","716310521844"
"320461","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","0145108","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320462","SHOP RITE GRAPE TOMATOES","","","NJ1","2016-05-15","","0145108","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190037759"
"320463","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320464","DIMARE MR. TASTY GRAPE TOMATOES","","","GA1","2016-05-17","","","","LOCUST GROVE","INGLES SUPERMARKET","GA","33383655857"
"320477","HOUWELINGS GRAPE TOMATOES","","","CA1","2016-05-14","","","","PALMDALE ","SAMS CLUB","CA","816239012321"
"320481","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","GIANT EAGLE MARKET","PA","33383655857"
"320482","SUNFRESH GRAPE TOMATOES","","","PA1","2016-05-15","","","","PITTSBURGH","SHOP N SAVE","PA","33383655857"
"320486","FRESH FROM THE FARM GRAPE TOMATOES*","","1","KY1","2016-05-17","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070"
"320490","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320491","FRESH FROM THE FARM GRAPE TOMATOES*","","1","NC1","2016-05-14","","","","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","848571000070"
"320495","LIPMAN FAMILY FARMS GRAPE TOMATOES","","1","IA","2016-05-14","","","","ESTHERVILLE ","FAREWAY STORE","IA","33383655857"
"320496","LIPMAN FAMILY FARMS GRAPE TOMATOES","","1","IA","2016-05-14","","","","ESTHERVILLE ","FAREWAY STORE","IA","33383655857"
"320500","VILLAGE FARM GRAPE TOMATOES","","","TX1","2016-05-15","","","","HOUSTON","RANDALLS FOOD MARKET","TX","606105437705"
"320501","VILLAGE FARM GRAPE TOMATOES","","","TX1","2016-05-15","","","","HOUSTON","RANDALLS FOOD MARKET","TX","606105437705"
"320508","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408"
"320509","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408"
"320513","FRESH FROM THE FARM GRAPE TOMATOES*","","1","KY1","2016-05-17","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070"
"320514","FRESH FROM THE FARM GRAPE TOMATOES*","","1","KY1","2016-05-17","","","","HARRODSBURG","WALMART SUPERCENTER","KY","848571000070"
"320515","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408"
"320516","VEG FRESH FARMS","","","CA2","2016-05-22","","","","BONITA","VONS MARKET","CA","729062118408"
"321362","","","","CA1","2018-04-16","","HU18028003","","PALMDALE","WALMART","CA","24600010030"
"321368","","","","TX1","2018-04-08","","GS18080008","","HOUSTON","HEB","TX","24600010030"
"321374","","2023-03-16","","CA1","2018-04-16","","1W0758X","","PALMDALE","WALMART","CA","78742353388"
"321380","","2023-03-01","","TX1","2018-04-08","","C8TB26","","HOUSTON","HEB","TX","41220266937"
"321385","","","","NE1","2018-04-15","","HU17257011","","HASTINGS","WALMART","NE","24600010030"
"321390","","","","NC1","2018-04-16","","SS17348043","","ROANOKE RAPIDS","FOOD LION STORE","NC","24600010030"
"321395","","","","IN1","2018-04-15","","ILU18052003","","NEWBURGH","SCHNUCK MARKET","IN","24600010030"
"321401","","","","GA1","2018-04-16","","S518010016","","LOCUST GROVE","INGLES","GA","24600010030"
"321407","","","","GA1","2018-04-16","","2W009 8 X","","LOCUST GROVE","INGLES","GA","86854002964"
"321413","","2022-10-19","","PA1","2018-04-07","","1W292 7 -","","PITTSBURGH","SHOP N SAVE","PA","41303019580"
"321418","","","","CA2","2018-04-08","","RI18030009","","BONITA","VONS MARKET","CA","24600010030"
"321424","","2023-03-15","","NE1","2018-04-15","","3W0748","","HASTINGS","WALMART","NE","78742353388"
"321430","","2023-01-22","","IA","2018-04-07","","3W0228X","","ESTHERVILLE","HYVEE FOOD STORE","IA","75450047493"
"321436","","","","PA1","2018-04-07","","SS17347020","","PITTSBURGH","SHOP N SAVE","PA","24600010030"
"321442","","","","AZ1","2018-04-15","","HU17347028","","TUCSON","BASHAS MARKET","AZ","24600010030"
"321447","","","","IA","2018-04-07","","HU18029014","","ESTHERVILLE","HYVEE FOOD STORE","IA","24600010030"
"321453","","2023-03-26","","NC1","2018-04-16","","3W0858X","","ROANOKE RAPIDS","WALMART","NC","78742353388"
"321459","","2022-06-10","","CA2","2018-04-08","","1W617","","BONITA","VONS MARKET","CA","21130520015"
"321465","","2023-01-01","","AZ1","2018-04-15","","A8TB19","","TUCSON","BASHAS MARKET","AZ","36800510166"
"321476","","2023-02-15","","NJ1","2018-04-08","","1W 0468","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190001057"
"321482","","","","KY1","2018-04-08","","SS18073011","","HARRODSBURG","WALMART","KY","24600010030"
"321488","","2023-02-16","","KY1","2018-04-08","","1W 0478X","","HARRODSBUG","WALMART","KY","78742353388"
"321494","","","","NJ1","2018-04-08","","SS18046018","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24600010030"
"321500","","2023-04-02","","IN1","2018-06-01","","3W0928","","NEWBURGH","WALMART SUPERMARKET","IN","78742353388"
"321507","","2017-08-03","","AZ1","2015-06-02","","7AT 421616 300:29","","TUCSON","BASHAS MARKET","AZ","24000162865"
