"id","name","unit_name","nutrient_nbr","rank"
"2047","Energy (Atwater General Factors)","KCAL","957","280.0"
"2048","Energy (Atwater Specific Factors)","KCAL","958","290.0"
"1001","Solids","G","201","200.0"
"1002","Nitrogen","G","202","500.0"
"1003","Protein","G","203","600.0"
"1004","Total lipid (fat)","G","204","800.0"
"1005","Carbohydrate, by difference","G","205","1110.0"
"1006","Fiber, crude (DO NOT USE - Archived)","G","206","999999.0"
"1007","Ash","G","207","1000.0"
"1008","Energy","KCAL","208","300.0"
"1009","Starch","G","209","2200.0"
"1010","Sucrose","G","210","1600.0"
"1011","Glucose","G","211","1700.0"
"1012","Fructose","G","212","1800.0"
"1013","Lactose","G","213","1900.0"
"1014","Maltose","G","214","2000.0"
"1015","Amylose","G","218","999999.0"
"1016","Amylopectin","G","219","999999.0"
"1017","Pectin","G","220","999999.0"
"1018","Alcohol, ethyl","G","221","18200.0"
"1019","Pentosan","G","222","999999.0"
"1020","Pentoses","G","223","999999.0"
"1021","Hemicellulose","G","224","999999.0"
"1022","Cellulose","G","225","999999.0"
"1023","pH","PH","226","999999.0"
"1024","Specific Gravity","SP_GR","227","8955"
"1025","Organic acids","G","229","2850.0"
"1026","Acetic acid","MG","230","2900.0"
"1027","Aconitic acid","MG","231","3000.0"
"1028","Benzoic acid","MG","232","3100.0"
"1029","Chelidonic acid","MG","233","3200.0"
"1030","Chlorogenic acid","MG","234","3300.0"
"1031","Cinnamic acid","MG","235","3400.0"
"1032","Citric acid","MG","236","3500.0"
"1033","Fumaric acid","MG","237","3600.0"
"1034","Galacturonic acid","MG","238","3700.0"
"1035","Gallic acid","MG","239","3800.0"
"1036","Glycolic acid","MG","240","3900.0"
"1037","Isocitric acid","MG","241","4000.0"
"1038","Lactic acid","MG","242","4100.0"
"1039","Malic acid","MG","243","4200.0"
"1040","Oxaloacetic acid","MG","244","4300.0"
"1041","Oxalic acid","MG","245","4400.0"
"1042","Phytic acid","MG","246","4500.0"
"1043","Pyruvic acid","MG","247","4600.0"
"1044","Quinic acid","MG","248","4700.0"
"1045","Salicylic acid","MG","249","4800.0"
"1046","Succinic acid","MG","250","4900.0"
"1047","Tartaric acid","MG","251","5000.0"
"1048","Ursolic acid","MG","252","5100.0"
"1049","Solids, non-fat","G","253","999999.0"
"1050","Carbohydrate, by summation","G","205.2","1120.0"
"1051","Water","G","255","100.0"
"1052","Adjusted Nitrogen","G","256","999999.0"
"1053","Adjusted Protein","G","257","700.0"
"1054","Piperine","G","259","999999.0"
"1055","Mannitol","G","260","2500.0"
"1056","Sorbitol","G","261","2600.0"
"1057","Caffeine","MG","262","18300.0"
"1058","Theobromine","MG","263","18400.0"
"1059","Nitrates","MG","264","999999.0"
"1060","Nitrites","MG","265","999999.0"
"1061","Nitrosamine,total","MG","266","999999.0"
"1062","Energy","kJ","268","400.0"
"1063","Sugars, Total","G","269.3","1500.0"
"1064","Solids, soluble","G","271","999999.0"
"1065","Glycogen","G","272","999999.0"
"1066","Fiber, neutral detergent (DO NOT USE - Archived)","G","273","999999.0"
"1067","Reducing sugars","G","274","999999.0"
"1068","Beta-glucans","G","276","999999.0"
"1069","Oligosaccharides","G","281","999999.0"
"1070","Nonstarch polysaccharides","G","282","999999.0"
"1071","Resistant starch","G","283","999999.0"
"1072","Carbohydrate, other","G","284",""
"1073","Arabinose","G","285","999999.0"
"1074","Xylose","G","286","999999.0"
"1075","Galactose","G","287","2100.0"
"1076","Raffinose","G","288","2300.0"
"1077","Stachyose","G","289","2400.0"
"1078","Xylitol","G","290","2700.0"
"1079","Fiber, total dietary","G","291","1200.0"
"1080","Lignin","G","292","999999.0"
"1081","Ribose","G","294","999999.0"
"1082","Fiber, soluble","G","295","1240.0"
"1083","Theophylline","MG","296","999999.0"
"1084","Fiber, insoluble","G","297","1260.0"
"1085","Total fat (NLEA)","G","298","900.0"
"1086","Total sugar alcohols","G","299","999999.0"
"1087","Calcium, Ca","MG","301","5300.0"
"1088","Chlorine, Cl","MG","302","999999.0"
"1089","Iron, Fe","MG","303","5400.0"
"1090","Magnesium, Mg","MG","304","5500.0"
"1091","Phosphorus, P","MG","305","5600.0"
"1092","Potassium, K","MG","306","5700.0"
"1093","Sodium, Na","MG","307","5800.0"
"1094","Sulfur, S","MG","308","6241.0"
"1095","Zinc, Zn","MG","309","5900.0"
"1096","Chromium, Cr","UG","310","999999.0"
"1097","Cobalt, Co","UG","311","6244.0"
"1098","Copper, Cu","MG","312","6000.0"
"1099","Fluoride, F","UG","313","6240.0"
"1100","Iodine, I","UG","314","6150.0"
"1101","Manganese, Mn","MG","315","6100.0"
"1102","Molybdenum, Mo","UG","316","6243.0"
"1103","Selenium, Se","UG","317","6200.0"
"1104","Vitamin A, IU","IU","318","7500.0"
"1105","Retinol","UG","319","7430.0"
"1106","Vitamin A, RAE","UG","320","7420.0"
"1107","Carotene, beta","UG","321","7440.0"
"1108","Carotene, alpha","UG","322","7450.0"
"1109","Vitamin E (alpha-tocopherol)","MG","323","7905.0"
"1110","Vitamin D (D2 + D3), International Units","IU","324","8650.0"
"1111","Vitamin D2 (ergocalciferol)","UG","325","8710.0"
"1112","Vitamin D3 (cholecalciferol)","UG","326","8720.0"
"1113","25-hydroxycholecalciferol","UG","327","8730.0"
"1114","Vitamin D (D2 + D3)","UG","328","8700.0"
"1115","25-hydroxyergocalciferol","UG","329","8740.0"
"1116","Phytoene","UG","330","7570.0"
"1117","Phytofluene","UG","331","7580.0"
"1118","Carotene, gamma","UG","332","7455.0"
"1119","Zeaxanthin","UG","338.2","7564.0"
"1120","Cryptoxanthin, beta","UG","334","7460.0"
"1121","Lutein","UG","338.1","7562.0"
"1122","Lycopene","UG","337","7530.0"
"1123","Lutein + zeaxanthin","UG","338","7560.0"
"1124","Vitamin E (label entry primarily)","IU","340","999999.0"
"1125","Tocopherol, beta","MG","341","8000.0"
"1126","Tocopherol, gamma","MG","342","8100.0"
"1127","Tocopherol, delta","MG","343","8200.0"
"1128","Tocotrienol, alpha","MG","344","8300.0"
"1129","Tocotrienol, beta","MG","345","8400.0"
"1130","Tocotrienol, gamma","MG","346","8500.0"
"1131","Tocotrienol, delta","MG","347","8600.0"
"1132","Aluminum, Al","UG","348","999999.0"
"1133","Antimony, Sb","UG","349","999999.0"
"1134","Arsenic, As","UG","350","999999.0"
"1135","Barium, Ba","UG","351","999999.0"
"1136","Beryllium, Be","UG","352","999999.0"
"1137","Boron, B","UG","354","6245.0"
"1138","Bromine, Br","UG","355","999999.0"
"1139","Cadmium, Cd","UG","356","999999.0"
"1140","Gold, Au","UG","363","999999.0"
"1141","Iron, heme","MG","364","999999.0"
"1142","Iron, non-heme","MG","365","999999.0"
"1143","Lead, Pb","UG","367","999999.0"
"1144","Lithium, Li","UG","368","999999.0"
"1145","Mercury, Hg","UG","370","999999.0"
"1146","Nickel, Ni","UG","371","6242.0"
"1147","Rubidium, Rb","UG","373","999999.0"
"1148","Fluoride - DO NOT USE; use 313","UG","374","6250.0"
"1149","Salt, NaCl","MG","375","999999.0"
"1150","Silicon, Si","UG","378","999999.0"
"1151","Silver, Ag","UG","379","999999.0"
"1152","Strontium, Sr","UG","380","999999.0"
"1153","Tin, Sn","UG","385","999999.0"
"1154","Titanium, Ti","UG","386","999999.0"
"1155","Vanadium, V","UG","389","999999.0"
"1156","Vitamin A, RE","MCG_RE","392","7500.0"
"1157","Carotene","MCG_RE","393","7600.0"
"1158","Vitamin E","MG_ATE","394","7800.0"
"1159","cis-beta-Carotene","UG","321.1","7442.0"
"1160","cis-Lycopene","UG","337.1","7532.0"
"1161","cis-Lutein/Zeaxanthin","UG","338.3","7561.0"
"1162","Vitamin C, total ascorbic acid","MG","401","6300.0"
"1163","Vitamin C, reduced ascorbic acid","MG","402","999999.0"
"1164","Vitamin C, dehydro ascorbic acid","MG","403","999999.0"
"1165","Thiamin","MG","404","6400.0"
"1166","Riboflavin","MG","405","6500.0"
"1167","Niacin","MG","406","6600.0"
"1168","Niacin from tryptophan, determined","MG","407","999999.0"
"1169","Niacin equivalent N406 +N407","MG","409","999999.0"
"1170","Pantothenic acid","MG","410","6700.0"
"1171","Vitamin B-6, pyridoxine, alcohol form","MG","411","999999.0"
"1172","Vitamin B-6, pyridoxal, aldehyde form","MG","412","999999.0"
"1173","Vitamin B-6, pyridoxamine, amine form","MG","413","999999.0"
"1174","Vitamin B-6, N411 + N412 +N413","MG","414","999999.0"
"1175","Vitamin B-6","MG","415","6800.0"
"1176","Biotin","UG","416","6850.0"
"1177","Folate, total","UG","417","6900.0"
"1178","Vitamin B-12","UG","418","7300.0"
"1179","Folate, free","UG","419","999999.0"
"1180","Choline, total","MG","421","7220.0"
"1181","Inositol","MG","422","2800.0"
"1182","Inositol phosphate","MG","423","999999.0"
"1183","Vitamin K (Menaquinone-4)","UG","428","8950.0"
"1184","Vitamin K (Dihydrophylloquinone)","UG","429","8900.0"
"1185","Vitamin K (phylloquinone)","UG","430","8800.0"
"1186","Folic acid","UG","431","7000.0"
"1187","Folate, food","UG","432","7100.0"
"1188","5-methyl tetrahydrofolate (5-MTHF)","UG","433","999999.0"
"1189","Folate, not 5-MTHF","UG","434","999999.0"
"1190","Folate, DFE","UG","435","7200.0"
"1191","10-Formyl folic acid (10HCOFA)","UG","436","999999.0"
"1192","5-Formyltetrahydrofolic acid (5-HCOH4","UG","437","999999.0"
"1193","Tetrahydrofolic acid (THF)","UG","438","999999.0"
"1194","Choline, free","MG","450","7230.0"
"1195","Choline, from phosphocholine","MG","451","7240.0"
"1196","Choline, from phosphotidyl choline","MG","452","7250.0"
"1197","Choline, from glycerophosphocholine","MG","453","7260.0"
"1198","Betaine","MG","454","7290.0"
"1199","Choline, from sphingomyelin","MG","455","7270.0"
"1200","p-Hydroxy benzoic acid","MG","460","999999.0"
"1201","Caffeic acid","MG","461","999999.0"
"1202","p-Coumaric acid","MG","462","999999.0"
"1203","Ellagic acid","MG","463","999999.0"
"1204","Ferrulic acid","MG","464","999999.0"
"1205","Gentisic acid","MG","465","999999.0"
"1206","Tyrosol","MG","466","999999.0"
"1207","Vanillic acid","MG","467","999999.0"
"1208","Phenolic acids, total","MG","469","999999.0"
"1209","Polyphenols, total","MG","470","999999.0"
"1210","Tryptophan","G","501","16300.0"
"1211","Threonine","G","502","16400.0"
"1212","Isoleucine","G","503","16500.0"
"1213","Leucine","G","504","16600.0"
"1214","Lysine","G","505","16700.0"
"1215","Methionine","G","506","16800.0"
"1216","Cystine","G","507","16900.0"
"1217","Phenylalanine","G","508","17000.0"
"1218","Tyrosine","G","509","17100.0"
"1219","Valine","G","510","17200.0"
"1220","Arginine","G","511","17300.0"
"1221","Histidine","G","512","17400.0"
"1222","Alanine","G","513","17500.0"
"1223","Aspartic acid","G","514","17600.0"
"1224","Glutamic acid","G","515","17700.0"
"1225","Glycine","G","516","17800.0"
"1226","Proline","G","517","17900.0"
"1227","Serine","G","518","18000.0"
"1228","Hydroxyproline","G","521","18100.0"
"1229","Cysteine and methionine(sulfer containig AA)","G","522","999999.0"
"1230","Phenylalanine and tyrosine (aromatic  AA)","G","523","16950.0"
"1231","Asparagine","G","525","999999.0"
"1232","Cysteine","G","526","18150.0"
"1233","Glutamine","G","528","999999.0"
"1234","Taurine","G","529","999999.0"
"1235","Sugars, added","G","539","1540.0"
"1236","Sugars, intrinsic","G","549","1520.0"
"1237","Calcium, added","MG","551","5340.0"
"1238","Iron, added","MG","553","5440.0"
"1239","Calcium, intrinsic","MG","561","5320.0"
"1240","Iron, intrinsic","MG","563","5420.0"
"1241","Vitamin C, added","MG","571","6340.0"
"1242","Vitamin E, added","MG","573","7920.0"
"1243","Thiamin, added","MG","574","6440.0"
"1244","Riboflavin, added","MG","575","6540.0"
"1245","Niacin, added","MG","576","6640.0"
"1246","Vitamin B-12, added","UG","578","7340.0"
"1247","Vitamin C, intrinsic","MG","581","6320.0"
"1248","Vitamin E, intrinsic","MG","583","7930.0"
"1249","Thiamin, intrinsic","MG","584","6420.0"
"1250","Riboflavin, intrinsic","MG","585","6520.0"
"1251","Niacin, intrinsic","MG","586","6620.0"
"1252","Vitamin B-12, intrinsic","UG","588","7320.0"
"1253","Cholesterol","MG","601","15700.0"
"1254","Glycerides","G","602","999999.0"
"1255","Phospholipids","G","603","999999.0"
"1256","Glycolipids","G","604","999999.0"
"1257","Fatty acids, total trans","G","605","15400.0"
"1258","Fatty acids, total saturated","G","606","9700.0"
"1259","SFA 4:0","G","607","9800.0"
"1260","SFA 6:0","G","608","9900.0"
"1261","SFA 8:0","G","609","10000.0"
"1262","SFA 10:0","G","610","10100.0"
"1263","SFA 12:0","G","611","10300.0"
"1264","SFA 14:0","G","612","10500.0"
"1265","SFA 16:0","G","613","10700.0"
"1266","SFA 18:0","G","614","10900.0"
"1267","SFA 20:0","G","615","11100.0"
"1268","MUFA 18:1","G","617","12100.0"
"1269","PUFA 18:2","G","618","13100.0"
"1270","PUFA 18:3","G","619","13900.0"
"1271","PUFA 20:4","G","620","14700.0"
"1272","PUFA 22:6 n-3 (DHA)","G","621","15300.0"
"1273","SFA 22:0","G","624","11200.0"
"1274","MUFA 14:1","G","625","11500.0"
"1275","MUFA 16:1","G","626","11700.0"
"1276","PUFA 18:4","G","627","14250.0"
"1277","MUFA 20:1","G","628","12400.0"
"1278","PUFA 20:5 n-3 (EPA)","G","629","15000.0"
"1279","MUFA 22:1","G","630","12500.0"
"1280","PUFA 22:5 n-3 (DPA)","G","631","15200.0"
"1281","TFA 14:1 t","G","821","15510.0"
"1283","Phytosterols","MG","636","15800.0"
"1284","Ergosterol","MG","637","16220.0"
"1285","Stigmasterol","MG","638","15900.0"
"1286","Campesterol","MG","639","16000.0"
"1287","Brassicasterol","MG","640","16100.0"
"1288","Beta-sitosterol","MG","641","16200.0"
"1289","Campestanol","MG","642","16221.0"
"1290","Unsaponifiable matter (lipids)","G","643","999999.0"
"1291","Fatty acids, other than 607-615, 617-621, 624-632, 652-654, 686-689)","G","644","999999.0"
"1292","Fatty acids, total monounsaturated","G","645","11400.0"
"1293","Fatty acids, total polyunsaturated","G","646","12900.0"
"1294","Beta-sitostanol","MG","647","16222.0"
"1295","Delta-7-avenasterol","MG","648","16223.0"
"1296","Delta-5-avenasterol","MG","649","16224.0"
"1297","Alpha-spinasterol","MG","650","16225.0"
"1298","Phytosterols, other","MG","651","16227.0"
